OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Full Address,Latitude,Longitude
160,PILOT TRAVEL CENTERS #79,"I-12, EXIT 10 AT MILE 10",Denham Springs                          ,LA,600,3.23233333,"I-12, EXIT 10 AT MILE 10, Denham Springs                          ",30.4581541,-90.9442091
164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station                            ,IN,365,3.809,"I-94, EXIT 15 B, Lake Station                            ",41.57607,-87.2647553
167,FLYING J TRAVEL PLAZA #653,RT 2 & I-65 EXIT 240,Hebron,IN,365,3.43566666,"RT 2 & I-65 EXIT 240, Hebron",36.1602597,-86.7928871
174,Hop-In Food Stores,US-59 & SR-224,Nacogdoches                             ,TX,618,2.859,"US-59 & SR-224, Nacogdoches                             ",31.6502141,-94.6807589
184,SAPP BROS TRAVEL CENTER,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,486,3.719,"I-29 & I-80, EXIT 1B, Council Bluffs",41.2325272,-95.8597202
186,COFFEE CUP FUEL STOP #5,"I-90, EXIT 154 & US-16",Moorcroft                               ,WY,822,3.239,"I-90, EXIT 154 & US-16, Moorcroft                               ",44.2684729,-104.9061813
187,DUDLEYS CORNER,"I-35, EXIT 165 & SR-3",Latimer,IA,433,3.23233333,"I-35, EXIT 165 & SR-3, Latimer",37.9418219,-96.7515814
191,KUM & GO #0302,"I-35, EXIT 193 & SR 106",Clear Lake,IA,433,3.18566666,"I-35, EXIT 193 & SR 106, Clear Lake",43.1435564,-93.3788108
192,Brew Stuart Truckstop,"I-80, EXIT 93",Stuart                                  ,IA,320,3.099,"I-80, EXIT 93, Stuart                                  ",40.7269343,-98.6697482
195,PETRO STOPPING CENTER #311,"I-40 & I-55, EXIT 280",West Memphis,AR,435,3.36733333,"I-40 & I-55, EXIT 280, West Memphis",35.1691218,-90.1866936
198,SINCLAIR,"I-76, EXIT 115",Atwood,CO,800,3.299,"I-76, EXIT 115, Atwood",0.0,0.0
199,PETRO STOPPING CENTER #366,"I-70, EXIT 252",Salina,KS,523,3.80566666,"I-70, EXIT 252, Salina",38.87421,-97.6494839
203,PILOT TRAVEL CENTER #31,"I-80/94, EXIT 2",Highland,IN,365,3.829,"I-80/94, EXIT 2, Highland",40.7269343,-98.6697482
203,PILOT TRAVEL CENTERS #31,"I-80/94, EXIT 2",Highland,IN,365,3.799,"I-80/94, EXIT 2, Highland",40.7269343,-98.6697482
207,MARATHON,SR-32,Sardinia                                ,OH,300,3.56566666,"SR-32, Sardinia                                ",39.0078448,-83.8085377
216,CIRCLE K #2721593,"I-10, EXIT 50",Ocean Springs,MS,715,3.41566666,"I-10, EXIT 50, Ocean Springs",30.5279928,-99.852776
217,NORTH 9TH 24/7,"I-70, EXIT 252",Salina,KS,523,3.02566666,"I-70, EXIT 252, Salina",38.87421,-97.6494839
231,DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",Mount Vernon,KY,410,2.999,"I-75, EXIT 62 & US-25, Mount Vernon",37.3528615,-84.3404919
235,PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,225,3.359,"I-75, EXIT 358, Ocala",29.1754693,-82.1847272
235,PILOT TRAVEL CENTER #92,"I-75, EXIT 358",Ocala,FL,225,3.41233333,"I-75, EXIT 358, Ocala",29.1754693,-82.1847272
240,LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",Port Allen,LA,600,3.039,"I-10, EXIT 153 & SR-1, Port Allen",30.4474878,-91.20732609999999
243,SAVE,US-41 & SR-10,Lake Village,IN,399,3.179,"US-41 & SR-10, Lake Village",41.1448849,-87.4540871
244,BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",Duson,LA,725,2.98233333,"I-10, EXIT 92 & SR-95, Duson",30.2475962,-92.1938478
248,Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,725,3.729,"I-10, EXIT 236, New Orleans",30.050627,-89.9543301
250,GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,523,3.499,"I-70/US-40, EXIT 159 & US-183, Hays",38.8783342,-97.81243979999999
253,LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,435,3.32566666,"I-40, EXIT 280 & I-55, EXIT 4, West Memphis",35.1676057,-90.202025
256,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville                             ,MD,165,3.899,"I-68/US-40, EXIT 22 & US-219, Grantsville                             ",39.6843961,-79.2418367
257,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls                             ,MT,815,3.63566666,"I-15 & 31ST STREET EXIT 277, Great Falls                             ",47.5052411,-111.2537688
263,CASEYS #3956,I-94 EXIT 16,Bridgman,MI,465,3.559,"I-94 EXIT 16, Bridgman",41.9365953,-86.5713966
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,357,3.399,"SR-154 & SR-129, Dodge City",37.7527982,-100.0170787
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.299,"I-75, EXIT 15, Monroe                                  ",41.9168227,-83.3632835
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.249,"I-75, EXIT 15, Monroe                                  ",41.9168227,-83.3632835
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.439,"I-75, EXIT 15, Monroe                                  ",41.9168227,-83.3632835
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.349,"I-75, EXIT 15, Monroe                                  ",41.9168227,-83.3632835
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.559,"I-75, EXIT 15, Monroe                                  ",41.9168227,-83.3632835
278,CARLISLE PLAZA,US-41,Carlisle,IN,510,3.499,"US-41, Carlisle",35.2424881,-85.6904792
281,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,375,3.399,"I-65, EXIT 76 & US-31, Taylorsville",39.3072182,-85.959932
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,553,3.229,"I-70, MM 209, Lawrence",38.9906376,-95.2497159
292,PETES #56,US-169 & CR-5000,Cherryvale,KS,307,3.23233333,"US-169 & CR-5000, Cherryvale",37.2684997,-95.5685462
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,336,3.25566666,"I-35, MILE MARKER 97, Matfield Green",37.9417247,-96.7514842
304,FL Roberts,"I-91, EXIT 4",Springfield,MA,100,3.599,"I-91, EXIT 4, Springfield",42.1035532,-72.5974572
309,QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,400,3.199,"I-635, EXIT 3, Kansas City",39.1064076,-94.6780198
323,SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,475,3.46566666,"I-80, EXIT 126, Ogallala",41.1150625,-101.7215778
326,FLYING J TRAVEL PLAZA #748,"I-15, EXIT 357",Willard                                 ,UT,835,3.749,"I-15, EXIT 357, Willard                                 ",41.1272966,-112.0255346
341,TA JACKSONVILLE SOUTH TRAVEL CENTER,"I-95, EXIT 329",Saint Johns,FL,75,3.469,"I-95, EXIT 329, Saint Johns",30.0756473,-81.4987762
347,7-ELEVEN #40514,I-90/80-IN TOLL RD MM 22E,Portage,IN,365,3.99066666,"I-90/80-IN TOLL RD MM 22E, Portage",41.5799126,-87.1738685
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.769,"I-81N, EXIT 2W & I-81S, EXIT 3, Binghamton",42.1153123,-75.8850209
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.689,"I-81N, EXIT 2W & I-81S, EXIT 3, Binghamton",42.1153123,-75.8850209
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.699,"I-81N, EXIT 2W & I-81S, EXIT 3, Binghamton",42.1153123,-75.8850209
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.739,"I-81N, EXIT 2W & I-81S, EXIT 3, Binghamton",42.1153123,-75.8850209
361,CIRCLE K #2726293,"I-295, EXIT 25",Jacksonville,FL,75,3.31566666,"I-295, EXIT 25, Jacksonville",30.3511222,-81.5544966
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.749,"I-87, EXIT 16, Gansevoort                              ",42.9130662,-73.7952611
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.799,"I-87, EXIT 16, Gansevoort                              ",42.9130662,-73.7952611
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,365,3.999,"I-94, EXIT 5, Hammond",41.5743088,-87.4790517
381,7-Eleven #41830,US-69 & US-135,Jacksonville,TX,630,2.91566666,"US-69 & US-135, Jacksonville",30.3321838,-81.65565099999999
387,Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,930,3.489,"I-8, EXIT 12, Yuma",32.6793226,-114.54999
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,315,3.719,"I-71, EXIT 131, Sunbury",39.6390794,-83.5662558
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,305,3.699,"I-71, EXIT 209, Seville",41.0370172,-81.8796484
403,TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,315,3.429,"I-70, EXIT 126 & SR-37, Hebron",39.1139719,-94.6164971
407,FUEL MART #641,"I-80 & I-280, EXIT 71",Perrysburg                              ,OH,550,3.499,"I-80 & I-280, EXIT 71, Perrysburg                              ",41.5707332,-83.5914113
421,PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,483,3.30233333,"I-40 & I-35, EXIT 127, Oklahoma City",35.4632753,-97.4753303
424,E EXPRESS,"I-40, EXIT 166",Choctaw,OK,483,2.899,"I-40, EXIT 166, Choctaw",35.4231374,-97.3247282
425,Neighbors Express,"I-16, EXIT 51",Dublin                                  ,GA,85,3.299,"I-16, EXIT 51, Dublin                                  ",32.4873974,-82.9321925
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,795,3.324,"US-385 & SR-2, Alliance",42.0966399,-102.8983309
455,MR FUEL #753,"I-95, EXIT 104 & SR-207",Ruther Glen,VA,180,3.26566666,"I-95, EXIT 104 & SR-207, Ruther Glen",36.8779954,-77.4037357
